[2019-09-02 11:59:20] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 11:59:21] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_64.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_64.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_65.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_65.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_66.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_66.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_67.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_67.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_68.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_68.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_69.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_69.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:57] [FINER  ] Inserting done 
[2019-09-02 12:01:57] [FINER  ] Parsing done 
[2019-09-02 12:01:57] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_7.jsonl 
[2019-09-02 12:01:57] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_7.jsonl 
[2019-09-02 12:01:57] [FINER  ] Beginning insert 
[2019-09-02 12:01:58] [FINER  ] Inserting done 
